"ASTRA",297
"ATAHONA",3575
"ATALAYA",2221
"ATALIVA",3493
"ATALIVA ROCA",2954
"ATOCHA",387
"ATOS PAMPA",3546
"AURELIA SUR",3492
"AUSONIA",353
"AVELLANEDA (PROV. CORDOBA)",3521
"AVIA TERAI",364
"AYACUCHO",2296
"AZARA",3758
"AZCUENAGA ",2325
"AZUL",2281
"BAGUAL",2658
"BAHIA AGRADABLE",3546
"BAHIA BLANCA",291
"BAHIA BUSTAMANTE",297
"BAHIA SAN BLAS",2920
"BAHIA TONON",3547
"BAIBIENE",3774
"BAIGORRITA",236
"BAJADA DEL AGRIO",2942
"BAJO CARACOLES",2963
"BAJO CHICO",3547
"BAJO DE LOS CORRALES",3542
"BAJO DE SANTA ROSA",2934
"BAJO HONDO",2932
"BAJO LA ALUMBRERA",3835
"BALCARCE",2266
"BALCOZNA",383
"BALDE",266
"BALDE DE LA PUNTA",3832
"BALDE DE LEYES",264
"BALDE DEL ROSARIO",2646
"BALLESTEROS",353
"BALLESTEROS SUR",353
"BALNEARIA",3563
"BALNEARIO EL CONDOR",2920
"BALNEARIO LAS GRUTAS",2934
"BALNEARIO PEHUEN CO",2921
"BAÑADO DE LOS PANTANOS",3827
"BAÑADO DE OVANTA",383
"BAÑADO DE SOTO",3549
"BANDERA",3857
"BANDERA BAJADA",3855
"BANDERALO",3388
"BARADERO",3329
"BARCENA",388
"BARDA DEL MEDIO",299
"BARDAS BLANCAS",260
"BARRANCA LARGA",3835
"BARRANCAS (PROV.  MENDOZA)",261
"BARRANCAS (PROV.  NEUQUEN)",2948
"BARRANCAS (PROV.  SANTA FE)",3466
"BARREAL",2648
"BARRIO 12 DE JUNIO",381
"BARRIO CASA ROSADA",381
"BARRIO CHACRAMONTE",298
"BARRIO EL CASAL",223
"BARRIO EX ISLA 10",299
"BARRIO LA ARMONIA",223
"BARRIO LA UNION",388
"BARRIO LOS PESCADORES",362
"BARRIO MARIO MOSCONI",298
"BARRIO MI RINCON",237
"BARRIO PARQUE PEÑA",223
"BARRIO PARQUE SICARDI",221
"BARRIO PUENTE CERO",298
"BARRIO QUINTO CUARTEL",264
"BARRIO RUTA  40 EL CERRILLO",264
"BARRIO SAN EDUARDO",223
"BARRIO SAN ESTEBAN",2226
"BARRO NEGRO",3888
"BARTOLOME BAVIO",221
"BASAIL",362
"BASAVILBASO",3445
"BATAN",223
"BATAVIA",2658
"BAUER Y SIGEL",3492
"BAYAUCA",2355
"BEAZLEY",266
"BELEN",3835
"BELLA ITALIA",3492
"BELLA VISTA (PROV. CORDOBA)",3542
"BELLA VISTA (PROV.  CORRIENTES)",3777
"BELLA VISTA (PROV.  SANTA CRUZ)",2966
"BELLA VISTA (PROV.  TUCUMAN)",381
"BELLOCQ",2395
"BELL VILLE",3537
"BELTRAN",385
"BENAVIDEZ",3327
"BENGOLEA",353
"BENITEZ",2346
"BENITO JUAREZ",2292
"BENJAMIN GOULD",3463
"BENJAMIN LAMBERT",3446
"BERABEVU",3465
"BERMEJO",264
"BERNA",3482
"BERNARDO DE IRIGOYEN",3741
"BERNARDO LARROUDE",2302
"BERNASCONI",2925
"BERON DE ASTRADA",3781
"BERROTARAN",358
"BERUTTI",2392
"BIALET MASSE",3541
"BIGAND",3464
"BLANCO ENCALADA",261
"BLANCUNTRE",280
"BLAQUIER",3388
"BOBADAL",3861
"BOCA DEL RIO",3547
"BOCA DEL TIGRE",264
"BOLIVAR",2314
"BOMBAL",3465
"BOMPLAND",3775
"BONIFACIO",2929
"BONPLAND",376
"BORDENAVE",2924
"BOUCHARD",3387
"BOUQUET",3471
"BOUWER",351
"BOVRIL",3438
"BOWEN",2625
"BRAGADO",2342
"BRAHMA",2323
"BREA POZO",3845
"BRINKMANN",3562
"BUENA ESPERANZA",2658
"BUENA VISTA",3835
"BUEN PASTO",2945
"BULNES",3582
"BURRUYACU",3894
"BUSTINZA",3471
"BUTA CO",2948
"BUTALON NORTE",2948
"BUTA RANQUIL",2948
"CAA CATI",3781
"CABANA",3543
"CABILDO",291
"CACHARI",2281
"CACHEUTA",2624
"CACHI",3868
"CACHIRULO",2954
"CACIQUE ARIACAIQUIN",3405
"CADRET",2395
"CAEPE MALAL",2948
"CAFARREÑO",3777
"CAFAYATE",3868
"CAFFERATA",3468
"CAIMANCITO",3886
"CAJON DE CURILEUVU",2948
"CALABACILLAS",345
"CALCHAQUI",3483
"CALCHIN",3573
"CALCHIN OESTE",3532
"CALETA OLIVIA",297
"CALEUFU",2335
"CALILEGUA",3886
"CALINGASTA",2648
"CALLE LARGA",2625
"CAMARONES",297
"CAMILO ALDAO",3468
"CAMINIAGA",3521
"CAMPAMENTOS",263
"CAMPAMENTO VESPUCIO",3873
"CAMPANA",3489
"CAMPANAS",3825
"CAMPICHUELO",3878
"CAMPO ALEGRE",3522
"CAMPO ANDINO",3497
"CAMPO CASTRO",3401
"CAMPO GALLO",3846
"CAMPO GRANDE (PROV.  CORDOBA)",3522
"CAMPO GRANDE (PROV.  MISIONES)",3755
"CAMPO HARDY",3482
"CAMPO LARGO",364
"CAMPO PIAGGIO",3404
"CAMPO QUIJANO",387
"CAMPO RAMON",3755
"CAMPO SANTO",387
"CAMPOS SALLES",336
"CAMPO VIERA",3755
"CAMPS",343
"CAÑADA DE GOMEZ",3471
"CAÑADA DEL MACHADO NORTE",3574
"CAÑADA DEL MACHADO SUR",3573
"CAÑADA DEL SAUCE",3546
"CAÑADA DEL UCLE",3465
"CAÑADA DE LUQUE",3525
"CAÑADA ESCOBAR",385
"CAÑADA HONDA",264
"CAÑADA OMBU",3482
"CAÑADA RICA",3460
"CAÑADA ROSQUIN",3401
"CAÑADA SECA (PROV.  BUENOS AIRES)",3382
"CAÑADA SECA (PROV.  MENDOZA)",260
"CANALEJAS",2625
"CANALS",3463
"CANCHA CARRERA",2902
"CANCHA DE HUINGANCO",2948
"CANDELARIA (PROV.  CATAMARCA)",3832
"CANDELARIA (PROV.  CORDOBA)",3542
"CANDELARIA (PROV.  MISIONES)",376
"CANDELARIA (PROV.  SAN LUIS)",2651
"CANTERAS IGUAZU",3548
"CANTERAS QUILPIO",3549
"CAÑUELAS",2226
"CAPAYAN",383
"CAPIAZUTI",3873
"CAPILLA DE LA CANDELARIA (PROV. CORDOBA, DTO. CRUZ DEL EJE)",3542
"CAPILLA DE LA SAGRADA FAMILIA",3574
"CAPILLA DEL CARMEN",3573
"CAPILLA DEL MONTE",3548
"CAPILLA DE LOS REMEDIOS",3574
"CAPILLA DEL SEÑOR",2323
"CAPILLA DE SITON",3575
"CAPIOVI",3743
"CAPITA MINI",3773
"CAPITAN BERMUDEZ",341
"CAPITAN SARMIENTO",2478
"CAPITAN SOLARI",3725
"CARABELAS",2475
"CARAGUATAY",3751
"CARCARAÑA",341
"CARHUE",2936
"CARILO",2254
"CARLOS BEGUERIE",2227
"CARLOS CASARES",2395
"CARLOS KEEN",2323
"CARLOS MARIA NAON",2317
"CARLOS PELLEGRINI",3401
"CARLOS SALAS",2357
"CARLOS SPEGAZZINI",2274
"CARLOS TEJEDOR",2357
"CARMEN",3462
"CARMEN DE ARECO",2273
"CARMENSA",2625
"CARNERILLO",358
"CAROLINA",2651
"CARPINTERIA (PROV. SAN JUAN)",264
